Data Source,World Development Indicators,,,,,,,,,,,,,,,
Last Updated Date,12/22/17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-105698324,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,226371388.8,250618095,-28775856.42,20982174.3
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,186900000,271000000,238000000,188690000,46033740,197512727.5,54200551,57620844,47226787.51,37638586,43510167.3,163102610,98995722.43
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182,-3023770966,-6897954559,-7120017424,1921699719,9282167512,4104422620
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,341285112.5,262479012.6,325130000,652270000,1246940000,1342010000,1089860000,1049430000,920090000,1253790000,1149390000,991260000,1087540000
Andorra,AND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,21263905251,46007410075,69410959613,81832690758,88751293580,76654441612,70001307553,44063839739,48688171366,45713016253,45480590913,36777178694,38562350207
United Arab Emirates,ARE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10003500000,10899931926,12805990470,14186521443,5062972005,1134288135,8796769641,7152095826,8828372518,9490990320,10823379306,8795099000,8985705000
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4124710000,5265250000,5537340000,6473150000,9725560000,4017158925,11332718626,10839930945,15323933917,9821661858,5065335542,11758994011,3260164342
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,247140608.5,292073220.2,466531991.9,667671562.1,943733059.5,760040745.9,529321391.6,653219756.5,496636701.1,346092394.4,403898410.4,178295867.1,338115182.3
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,80366585.19,220963374.1,358820163.7,338204733.3,158783774.4,80646652.59,96679207.78,65160596.3,129367138.9,134288999.6,43022568,96267801.07,48937179.8
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,42907672820,-25093141435,30551100657,44440090038,45160024271,28683266148,35210733743,65554890650,57550426823,53997299140,45978797620,37419460118,42049399046
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3892054627,81287916302,10497447196,68885359636,6310797391,14293213431,-22005597161,22974390293,5219630177,451322440.3,1712374349,-8577282615,-29948413982
Azerbaijan,AZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4719107000,4476396000,4485966000,4594234000,3986807000,2900030000,3352997000,4485120000,5293250000,2619437000,4430466000,4047630000,4499666000
Burundi,BDI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,44690.7076,584701.6926,31593.77819,500245.0931,3833208.348,348404.5346,780582.0036,3354999.181,604919.6515,116727136.5,81747197.23,49622865.77,55420.35666
Belgium,BEL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,44415185590,33683830158,58827696333,96587921127,1.90543E+11,86527976139,1.1149E+11,1.58029E+11,6683318619,-28375208909,-23931110655,-29117751602,37013224306
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-40701529.97,-8785364.695,-12352499.85,139006086.8,48016408.32,-18732013.56,53454932.99,161091309,281564661.1,360240965.3,405197656,149642289.7,160585150.3
Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3829373.785,32254080.61,83774772.55,21683121.76,33056780.41,56426881.77,38832813.08,143657274.8,329300811.2,490264030.5,356821732.4,167397328.6,308723322.4
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,448905400.7,760504265.8,456523167.7,651029738.1,1328422987,901286583.1,1232258247,1264725163,1584403460,2602962095,2539190940,2831152765,1908267936
Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3072550962,4098122931,7874476255,13875270457,10296720634,3896664559,1842900000,2103810000,1788110000,1989040000,2067540000,2706690000,1179040000
Bahrain,BHR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,865308118.6,1048601306,2914659868,1756312515,1793998355,257149561.4,155771009.2,780851063.8,891223404.3,988829787.2,957712766,-797074468.1,281914893.6
"Bahamas, The",BHS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,273600000,563414700,706380000,713350000,860156197,663960000,871970000,666621000,526171000,382252000,251277428.8,76075924.75,73723568.41
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,889597294.5,623812851.6,845962876.4,1841972230,1004852660,138511019.7,443840207.1,471610992.2,391976946.4,313295008.3,544866345.5,371039663.3,272521285.3
Belarus,BLR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,163800000,306600000,357100000,1807300000,2187900000,1876500000,1393400000,4002400000,1463600000,2246100000,1862000000,1652300000,1246900000
Belize,BLZ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,111496166.4,126908465.9,108828544.6,140373737.3,169668449.5,108840086.4,96449877.08,95348525.19,194201408.8,92247730.94,141097030.3,59119223.9,32733410.99
