"Region, subregion, country or area *"	Country_code	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Afghanistan	4	186900000	271000000	238000000	188690000	46033740	197512727.5	54200551	57620844	47226787.51	37638586	43510167.3	163102610	98995722.43
Albania	8	341285112.5	262479012.6	325130000	652270000	1246940000	1342010000	1089860000	1049430000	920090000	1253790000	1149390000	991260000	1087540000
Algeria	12	881851385	1156000000	1841000000	1686736540	2638607034	2746930734	2300369124	2571237025	1500402453	1691886708	1503453102	-403397081.1	1637370975
Angola	24	2197227820	-1303836930	-37714860	-893342152	1678971010	2205298180	-3227211182	-3023770966	-6897954559	-7120017424	1921699719	9282167512	4104422620
Antigua and Barbuda	28	80366585.19	220963374.1	358820163.7	338204733.3	158783774.4	80646652.59	96679207.78	65160596.3	129367138.9	134288999.6	43022568	96267801.07	48937179.8
Argentina	32	4124710000	5265250000	5537340000	6473150000	9725560000	4017158925	11332718626	10839930945	15323933917	9821661858	5065335542	11758994011	3260164342
Armenia	51	247140608.5	292073220.2	466531991.9	667671562.1	943733059.5	760040745.9	529321391.6	653219756.5	496636701.1	346092394.4	403898410.4	178295867.1	338115182.3
Aruba	533	-105698324	-207798005.9	220316139.7	-471005586.6	18882681.56	-10614525.14	186759776.5	488156424.6	-314692737.4	226371388.8	250618095	-28775856.42	20982174.3
Australia	36	42907672820	-25093141435	30551100657	44440090038	45160024271	28683266148	35210733743	65554890650	57550426823	53997299140	45978797620	37419460118	42049399046
Austria	40	3892054627	81287916302	10497447196	68885359636	6310797391	14293213431	-22005597161	22974390293	5219630177	451322440.3	1712374349	-8577282615	-29948413982
Azerbaijan	31	4719107000	4476396000	4485966000	4594234000	3986807000	2900030000	3352997000	4485120000	5293250000	2619437000	4430466000	4047630000	4499666000
"Bahamas, The"	44	273600000	563414700	706380000	713350000	860156197	663960000	871970000	666621000	526171000	382252000	251277428.8	76075924.75	73723568.41
Bahrain	48	865308118.6	1048601306	2914659868	1756312515	1793998355	257149561.4	155771009.2	780851063.8	891223404.3	988829787.2	957712766	-797074468.1	281914893.6
Bangladesh	50	448905400.7	760504265.8	456523167.7	651029738.1	1328422987	901286583.1	1232258247	1264725163	1584403460	2602962095	2539190940	2831152765	1908267936
Barbados	52	-12100000	238261395.9	342244377.2	451704577	462037883.8	458155604.1	668827625.3	387635239.9	437173278.3	-8083630.026	559340870.4	69489165.77	228292052
Belarus	112	163800000	306600000	357100000	1807300000	2187900000	1876500000	1393400000	4002400000	1463600000	2246100000	1862000000	1652300000	1246900000
Belgium	56	44415185590	33683830158	58827696333	96587921127	1.91E+11	86527976139	1.11E+11	1.58E+11	6683318619	-28375208909	-23931110655	-29117751602	37013224306
Belize	84	111496166.4	126908465.9	108828544.6	140373737.3	169668449.5	108840086.4	96449877.08	95348525.19	194201408.8	92247730.94	141097030.3	59119223.9	32733410.99
Benin	204	-40701529.97	-8785364.695	-12352499.85	139006086.8	48016408.32	-18732013.56	53454932.99	161091309	281564661.1	360240965.3	405197656	149642289.7	160585150.3
Bhutan	64	8859907.539	6210884.354	6122702.143	73855769.76	3144001.019	18299707.23	75274009.03	31141614.86	24380673.57	20433631.07	28951712.78	10768411.29	8075838.42
Bolivia	68	65430000	-238620000	280763457	366294241.5	512335605.2	423040000	621997989.5	858941070.4	1059965391	1749612614	656566350.8	554643532.3	332270901.7
Bosnia and Herzegovina	70	889597294.5	623812851.6	845962876.4	1841972230	1004852660	138511019.7	443840207.1	471610992.2	391976946.4	313295008.3	544866345.5	371039663.3	272521285.3
Botswana	72	390889365.3	420853645.9	486912042.1	494635511.7	520918009.9	208699416.1	218380384.2	1371087724	542804860.6	398456549.6	515184275.5	679446475.9	10476236.35
Brazil	76	18181190855	15459981604	19378093068	44579492464	50716402711	31480932200	88452079264	1.01E+11	86606502981	69686087841	97175059297	74718044774	78167247015
Brunei Darussalam	96	113205867	175068516.6	87839128.31	257635717.5	222184549.5	325586827.8	480722547	691170274.5	864905527.5	775641999.1	567889727.2	171289167.8	-150550827.3
Bulgaria	100	3072550962	4098122931	7874476255	13875270457	10296720634	3896664559	1842900000	2103810000	1788110000	1989040000	2067540000	2706690000	1179040000
Burkina Faso	854	3829373.785	32254080.61	83774772.55	21683121.76	33056780.41	56426881.77	38832813.08	143657274.8	329300811.2	490264030.5	356821732.4	167397328.6	308723322.4
Burundi	108	44690.7076	584701.6926	31593.77819	500245.0931	3833208.348	348404.5346	780582.0036	3354999.181	604919.6515	116727136.5	81747197.23	49622865.77	55420.35666
Cambodia	116	131416229.3	377180190.6	483209382.7	867288538.6	815180218	928393617.3	1342161498	1372479637	1835222684	1871724857	1720355930	1700968602	2287033631
Cameroon	120	67863015.12	243504753.3	59069772.85	189330876.4	20910875.62	743285027.3	535742601.5	652411755.8	527394101.2	547249169.1	724889079.4	694057556.6	128202346.4
Canada	124	1441912587	25545319852	64302242675	1.20E+11	70116945931	20931399830	29712896616	38318064819	49377811367	67047596545	64253194578	54702381232	32106339018
Caribbean small states	915	2292694847	3132557854	3749473256	3914059458	6464389874	3108814128	2838948469	2182682755	594787669.8	811998235.4	2826714589	2274089002	1865393457
Central African Republic	140	15100000	10100000	34670000	56750000	117110000	42280000	61520000	36908455.89	70035157.33	1852792.612	3475007.991	3000000	31196880.99
Chad	148	466793492.1	-99342519.36	-278414000	-321655000	466131000	374900000	313000000	281900000	579793037.4	520200793.5	-675545847.1	600219798.8	559857539.9
Channel Islands	830	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chile	152	6847694630	7525548374	7659148331	13562872054	18627398294	13966041793	16153354561	24373585096	30561690392	21092278857	24011458729	20468714299	12225431089
China	156	68117272181	1.04E+11	1.24E+11	1.56E+11	1.72E+11	1.31E+11	2.44E+11	2.80E+11	2.41E+11	2.91E+11	2.68E+11	2.42E+11	1.71E+11
Colombia	170	3115635874	10235419011	6750618035	8885767540	10564151395	8034565810	6429772238	14646779979	15039359120	16209295753	16164172027	11632212589	13726436813
Comoros	174	671354.6939	558643.2487	777728.3459	7681783.082	4631824.185	13784111.95	8342263.125	23088175.8	10375785.66	4230442.065	4678330.436	5146839.506	8015631.043
"Congo, Dem. Rep."	178	409032814.5	180000000	256100000	1808000000	1726800000	-243200000	2742300000	1686900000	3312142743	2098249103	1843173236	1673500100	1204708617
Costa Rica	188	1083718486	1528787464	1801002598	2241492021	2436112218	1614614468	1906923793	2733268840	2696295211	3205384977	3242149797	2955521681	2935113621
Croatia	191	1293085522	1794317620	3299038092	4567377359	5187844809	3198815037	1424108328	1417600259	1465100045	937309759.6	3959857737	158968737.6	1864321648
Cuba	192	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Curacao	531	N/A	N/A	N/A	105698324	146536312.8	55251396.65	89329608.94	70502234.64	69702234.64	-1508379.888	69296089.39	146435754.2	133083798.9
Cyprus	196	1118841809	1161973511	1872392935	2295454940	2337953031	2830582843	13596805274	-11920544950	49600567279	-6025166434	-754354504.9	8106710246	2607132723
Czech Republic	203	6423465151	13730164683	7132002408	13815656004	8815393022	5271613702	10167834375	4188736491	9433199805	7357578653	8088661930	1699914617	6497344244
Denmark	208	-8804165491	12847031342	2385249288	11809448518	2191215666	3771059440	-11767861925	13558894634	-16349825685	680338945.9	6577348987	1263071638	6407141035
Djibouti	262	38543559.85	22203341.19	108287709.4	195351140.3	227654582.2	96859684.56	36501032.52	79000230.7	109998255.7	286004467.7	152998382.3	123998424.5	159998874.6
Dominican Republic	214	934480000	1118400000	1528700000	2252900000	2728400000	1695300000	1820200000	2197500000	3415900000	1599900000	2385300000	2227300000	2522500000
Ecuador	218	836939593.9	493413835.5	271428852.5	193872526.9	1057157020	308606890.1	165858320.4	644077358.7	567492300.9	727045206.3	772275946.1	1321996337	754615868.1
"Egypt, Arab Rep."	818	1253300000	5375600000	10042800000	11578100000	9494600000	6711600000	6385600000	-482700000	2797700000	4192200000	4783200000	6884800000	8106800000
El Salvador	222	363270000	511140000	241130000	1550510000	903050000	368730000	-113160683.7	122500004.3	447709564.2	242345997.4	509251538.6	496992814.1	486478328.4
Equatorial Guinea	226	340914468.5	769146185.2	469506014.6	1242731087	-793872332.8	1636219625	2734000000	1975000000	985256411.5	582948749.1	167875165.6	233324879.5	53962172.52
Eritrea	232	24103664.84	1431553.832	15375609.76	7206504.065	39000000	91000000	91000000	39000000	41358136.65	43858858.13	46510785.84	49323061.48	52305383.53
Estonia	233	1086502853	3127298002	2212181185	3429043145	1873250285	1865561410	2592803327	1118556804	1788040739	1098646096	1751087219	-722555052.7	741621537.8
Ethiopia	231	545100000	265111675.5	545257102.2	222000573	108537544	221459581.4	288271568.3	626509560.4	278562822.2	1343876024	1855050376	2626520130	3988953392
Fiji	242	250618684.7	184929270.4	460444078.5	377939524.3	338522354.6	160649876.1	356156642.7	402356103.4	375988474.2	264709009.8	347993346.5	307878423.7	269507601.1
Finland	246	6771281519	10875828408	4631613504	21985066155	19403176598	-8826514767	12226437616	-6008160154	4932843235	-4940707106	17243598342	16938463412	-9537496212
France	250	35581202492	85179159787	78945704920	83780962091	67999194663	18380195793	38899924638	44191741840	32950453828	31589259642	5809580555	43923313140	35407746869
French Polynesia	258	6420023.009	7818937.09	30649550.54	58249411.64	13884094.47	21843717.56	64303751.42	133839517.3	147199569.6	99207173.35	45314778.95	26004564.14	53404993.82
Gabon	266	313970792	326161877.9	267805315.6	269324270.3	773000000	573000000	499000000	696000000	832473111.1	771192616	1011296178	623890438.8	703194560.6
"Gambia, The"	270	55526319.44	53650280.02	82208102.59	78094820.96	70792382.32	39447343.71	37140887.81	36077136.08	41183457.77	68340322.38	23014092.04	-1692732.888	-1526519.341
Georgia	268	492732940	453107292	1170292393	1877615756	1591300325	652921300.1	869115645.6	1084349576	831254884.5	957305001.7	1762940498	1582515661	1588457778
